samples	F	squ_can_corr_k_1	k	color
m6A SB_Rep1_vs_m6A SB_Rep3	99.4928993817226	0.995441466212745	1	#5E4FA2
m6A SB_Rep1_vs_m6A SB_Rep2	99.3193916497117	0.993404144618746	1	#4098B6
m6A Activin_Rep1_vs_m6A Activin_Rep2	99.2850661022394	0.994163762094817	1	#4173B3
m6A SB_Rep2_vs_m6A SB_Rep3	99.189685728332	0.992198343599278	1	#62BDA6
m6A Activin_Rep2_vs_m6A Activin_Rep3	98.9360928894755	0.989574944787922	1	#B7E2A1
m6A Activin_Rep2_vs_m6A SB_Rep3	98.8768902760555	0.989677791944387	1	#8DD1A4
m6A Activin_Rep3_vs_m6A SB_Rep3	98.73506539839	0.989243607853453	1	#DDF199
m6A Activin_Rep1_vs_m6A Activin_Rep3	98.705749885968	0.98808023017172	1	#FDD884
m6A Activin_Rep1_vs_m6A SB_Rep3	98.6856049074765	0.987267040389117	1	#F99254
m6A Activin_Rep3_vs_m6A SB_Rep1	98.6620984552818	0.988199899333409	1	#F2EA91
m6A Activin_Rep2_vs_m6A SB_Rep1	98.6341475005789	0.98742791744135	1	#FDB869
m6A Activin_Rep1_vs_m6A SB_Rep1	98.4913276373768	0.98634410339825	1	#F16943
m6A Activin_Rep2_vs_m6A SB_Rep2	97.4645488476839	0.975616705427839	1	#DD4B4B
m6A Activin_Rep3_vs_m6A SB_Rep2	96.9339031174011	0.969631323220765	1	#C1284A
m6A Activin_Rep1_vs_m6A SB_Rep2	96.4787670596632	0.966241088632402	1	#9E0142
