chr	chromStart	chromEnd	name	FC	strand	lg.p	lg.fdr	fold_enrchment	diff.lg.fdr	diff.lg.p	score	ENSEMBL_ID	Symbol	Functional_Location	Regulation	Min_Peak	Centre_Peak_Position	DisENg	diff.log2.fc	Distance	DistanceN	Gene
1	41510360	41510911	m6Ainputs.8563	-0.39	-	-10.6	-9.85	32.8	-4.09	-6.39	2.50E-11	ENSG00000127124	HIVEP3	Exon	None	N	41510635	-71577	-0.966	71577	-71577	
1	41511110	41512859	m6Ainputs.8563	-0.00991	-	-9.84	-9.11	8.58	-1.81	-3.53	1.40E-10	ENSG00000127124	HIVEP3	Exon	None	N	41511984	-70228	-0.966	70228	-70228	
1	41513008	41513309	m6Ainputs.8563	-0.394	-	-9.84	-9.11	11.6	-6.32	-8.96	1.40E-10	ENSG00000127124	HIVEP3	Exon	None	N	41513158	-69054	-0.966	69054	-69054	
1	41513458	41518460	m6Ainputs.8563	-0.488	-	-9.84	-9.11	8	-6.12	-8.73	1.40E-10	ENSG00000127124	HIVEP3	Exon	None	N	41515959	-66253	-0.966	66253	-66253	
1	41555764	41555965	m6Ainputs.8586	-0.688	+	-7	-6.46	4.7	-1.44	-3.02	1.00E-07	ENSG00000127124	HIVEP3	Intron	Down	N	41555864	-26348	-0.966	26348	-26348	
1	41555822	41555972	m6Ainputs.8587	-0.967	-	-6.55	-6.04	4.73	-3.6	-5.79	2.80E-07	ENSG00000127124	HIVEP3	Intron	Down	N	41555897	-26315	-0.966	26315	-26315	
1	41579989	41580090	m6Ainputs.8563	0.672	-	-11.5	-10.6	3.57	-5.04	-7.5	3.20E-12	ENSG00000127124	HIVEP3	Exon	None	N	41580039	-2173	-0.966	2173	-2173	
1	41580389	41580540	m6Ainputs.8563	0.106	-	-4.36	-3.95	4.19	-4.01	-6.28	4.40E-05	ENSG00000127124	HIVEP3	Exon	None	N	41580464	-1748	-0.966	1748	-1748	
1	41581138	41581489	m6Ainputs.8563	-0.315	-	-6.74	-6.22	3.06	-5.87	-8.45	1.80E-07	ENSG00000127124	HIVEP3	Exon	None	N	41581313	-899	-0.966	899	-899	
1	41581688	41581938	m6Ainputs.8563	0.03	-	-6.74	-6.22	4.25	-4.44	-6.8	1.80E-07	ENSG00000127124	HIVEP3	Exon	None	N	41581813	-399	-0.966	399	-399	
1	41582087	41582338	m6Ainputs.8563	-0.966	-	-9.23	-8.54	2.96	-3.17	-5.27	5.90E-10	ENSG00000127124	HIVEP3	Greatest FC peak	Down	Y	41582212	0	-0.966	0	0	HIVEP3
