chr	chromStart	chromEnd	name	FC	strand	lg.p	lg.fdr	fold_enrchment	diff.lg.fdr	diff.lg.p	score	ENSEMBL_ID	Symbol	Functional_Location	Regulation	Min_Peak	Centre_Peak_Position	DisENg	diff.log2.fc	Distance	DistanceN	Gene
1	1081867	1082216	m6Ainputs.232	-0.93	-	-6.59	-6.08	17.4	-3.34	-5.47	2.60E-07	ENSG00000131591	C1orf159	Exon	Down	N	1082041	-9434	-1.49	9434	-9434	
1	1082315	1082764	m6Ainputs.232	0.102	-	-6.59	-6.08	13.7	-0.355	-0.995	2.60E-07	ENSG00000131591	C1orf159	Exon	None	N	1082539	-8936	-1.49	8936	-8936	
1	1084306	1084456	m6Ainputs.232	-0.976	-	-2.1	-1.78	3.38	-5.28	-7.79	0.0079	ENSG00000131591	C1orf159	Exon	Down	N	1084381	-7094	-1.49	7094	-7094	
1	1087141	1087490	m6Ainputs.232	-1.01	-	-6.84	-6.31	11.6	-5.84	-8.4	1.40E-07	ENSG00000131591	C1orf159	Exon	Down	N	1087315	-4160	-1.49	4160	-4160	
1	1090354	1090455	m6Ainputs.232	-1.02	-	-3.32	-2.96	7.21	-1.24	-2.73	0.00048	ENSG00000131591	C1orf159	Exon	None	N	1090404	-1071	-1.49	1071	-1071	
1	1090802	1091102	m6Ainputs.232	-1.35	-	-5.58	-5.12	9.18	-7.61	-10.5	2.60E-06	ENSG00000131591	C1orf159	Exon	Down	N	1090952	-523	-1.49	523	-523	
1	1091400	1091550	m6Ainputs.232	-1.49	-	-2.62	-2.28	4.22	-3.4	-5.53	0.0024	ENSG00000131591	C1orf159	Exon	Down	Y	1091475	0	-1.49	0	0	
1	1092666	1105958	m6Ainputs.232	-0.226	-	-3.19	-2.83	2.54	-2.58	-4.53	0.00065	ENSG00000131591	C1orf159	Exon	None	N	1099312	7837	-1.49	7837	7837	
1	1115979	1116080	m6Ainputs.231	-0.931	+	-3.31	-2.95	5.22	-0.375	-1.04	0.00049	ENSG00000131591	C1orf159	Exon	None	N	1116029	24554	-1.49	24554	24554	
1	111755193	111755439	m6Ainputs.20455	-0.706	-	-30.4	-28.2	6.06	-2.08	-3.89	4.00E-31	ENSG00000064703	DDX20	Exon	Down	N	111755316	-43	-1.34	43	-43	
1	111755294	111755394	m6Ainputs.20457	-0.734	+	-4.09	-3.7	5.52	-2.35	-4.24	8.10E-05	ENSG00000064703	DDX20	Exon	Down	N	111755344	-15	-1.34	15	-15	
1	111755309	111755410	m6Ainputs.20455	-1.34	-	-9.94	-9.2	2.73	-2.82	-4.84	1.10E-10	ENSG00000064703	DDX20	Exon	Down	Y	111755359	0	-1.34	0	0	
1	111765876	111767021	m6Ainputs.20457	0.247	+	-19.4	-17.9	46	-2.26	-4.13	4.00E-20	ENSG00000064703	DDX20	Exon	None	N	111766448	11089	-1.34	11089	11089	
1	1203556	1203704	m6Ainputs.89	-0.681	-	-3.33	-2.97	3.63	-3.45	-5.61	0.00047	ENSG00000186891	TNFRSF18	Exon	Down	Y	1203630	0	-0.681	0	0	
1	1203947	1204468	m6Ainputs.89	0.325	-	-3.33	-2.97	3.07	-3.86	-6.09	0.00047	ENSG00000186891	TNFRSF18	Exon	None	N	1204207	577	-0.681	577	577	
1	1204001	1204447	m6Ainputs.90	0.403	+	-5.71	-5.24	4.67	-2.55	-4.49	1.90E-06	ENSG00000186891	TNFRSF18	Exon	None	N	1204224	594	-0.681	594	594	
1	157124568	157124668	m6Ainputs.24407	-0.638	-	-5.05	-4.62	2.25	-1.46	-3.04	8.90E-06	ENSG00000117036	ETV3	Exon	Down	Y	157124618	0	-0.638	0	0	
1	157124816	157125215	m6Ainputs.24407	0.115	-	-20.1	-18.6	31.5	0	-0.011	7.90E-21	ENSG00000117036	ETV3	Exon	None	N	157125015	397	-0.638	397	397	
1	157125412	157125960	m6Ainputs.24407	-0.0187	-	-20.1	-18.6	65.5	-0.179	-0.583	7.90E-21	ENSG00000117036	ETV3	Exon	None	N	157125686	1068	-0.638	1068	1068	
1	157136324	157138375	m6Ainputs.24407	-0.284	-	-4.72	-4.3	10.5	-0.137	-0.492	1.90E-05	ENSG00000117036	ETV3	Exon	None	N	157137349	12731	-0.638	12731	12731	
1	182599018	182599267	m6Ainputs.27872	0.353	-	-9.43	-8.73	6.26	-1.59	-3.22	3.70E-10	ENSG00000143333	RGS16	Exon	None	N	182599142	-1263	-0.703	1263	-1263	
1	182599959	182600207	m6Ainputs.27872	-0.478	-	-12.3	-11.4	56.2	0	0	5.00E-13	ENSG00000143333	RGS16	Exon	None	N	182600083	-322	-0.703	322	-322	
1	182600355	182600455	m6Ainputs.27872	-0.703	-	-7.38	-6.82	2.91	-2.55	-4.5	4.20E-08	ENSG00000143333	RGS16	Exon	Down	Y	182600405	0	-0.703	0	0	
1	202318485	202318785	m6Ainputs.29923	-0.61	+	-4.56	-4.15	18.1	-1.69	-3.36	2.80E-05	ENSG00000133067	LGR6	Exon	Down	Y	202318635	0	-0.61	0	0	
1	202319481	202319632	m6Ainputs.29923	-0.538	+	-2.47	-1.31	6.22	-0.751	-1.89	0.0034	ENSG00000133067	LGR6	Exon	None	N	202319556	921	-0.61	921	921	
1	203305539	203305639	m6Ainputs.30000	-0.484	+	-17.9	-16.6	21.3	-0.275	-0.806	1.30E-18	ENSG00000159388	BTG2	Exon	None	N	203305589	-2117	-0.75	2117	-2117	
1	203307140	203307535	m6Ainputs.30000	-0.687	+	-14	-12.9	11.8	-3.75	-5.97	1.00E-14	ENSG00000159388	BTG2	Exon	Down	N	203307337	-369	-0.75	369	-369	
1	203307632	203307781	m6Ainputs.30000	-0.75	+	-7.01	-6.47	1.95	-4.01	-6.29	9.80E-08	ENSG00000159388	BTG2	Exon	Down	Y	203307706	0	-0.75	0	0	
1	208023090	208023241	m6Ainputs.31263	2.03	-	-5.92	-5.45	10.7	-0.452	-1.22	1.20E-06	ENSG00000076356	PLXNA2	Exon	None	N	208023165	-220955	-0.681	220955	-220955	
1	208025736	208025937	m6Ainputs.31263	0.713	-	-13.9	-12.9	29.9	-0.322	-0.911	1.30E-14	ENSG00000076356	PLXNA2	Exon	None	N	208025836	-218284	-0.681	218284	-218284	
1	208026485	208026586	m6Ainputs.31263	-0.286	-	-9.36	-8.66	9.46	0	-0.103	4.40E-10	ENSG00000076356	PLXNA2	Exon	None	N	208026535	-217585	-0.681	217585	-217585	
1	208026934	208027235	m6Ainputs.31263	0.005	-	-9.47	-8.76	6.67	0	0	3.40E-10	ENSG00000076356	PLXNA2	Exon	None	N	208027084	-217036	-0.681	217036	-217036	
1	208216762	208217362	m6Ainputs.31263	-0.0121	-	-13.2	-12.2	65.6	-0.419	-1.14	6.30E-14	ENSG00000076356	PLXNA2	Exon	None	N	208217062	-27058	-0.681	27058	-27058	
1	208217461	208230249	m6Ainputs.31263	-0.00582	-	-13.2	-12.2	11.6	-1.23	-2.71	6.30E-14	ENSG00000076356	PLXNA2	Exon	None	N	208223855	-20265	-0.681	20265	-20265	
1	208243670	208243871	m6Ainputs.31263	0.0213	-	-16.5	-15.3	11.7	-0.204	-0.642	3.20E-17	ENSG00000076356	PLXNA2	Exon	None	N	208243770	-350	-0.681	350	-350	
1	208243970	208244270	m6Ainputs.31263	-0.681	-	-15.2	-14.1	5.04	-2.07	-3.88	6.30E-16	ENSG00000076356	PLXNA2	Exon	Down	Y	208244120	0	-0.681	0	0	
